asset_id,car_id,view_id,view_label,lighting,brand,model,body_type,color_name,r,g,b,caption,image_path
car_001_1,car_001,1,front_left,daylight,Toyota,Camry,sedan,blue,36,103,214,"blue Toyota Camry sedan, front-left walkaround view in daylight",data/demo_catalog/images/car_001_1.png
car_001_2,car_001,2,side_profile,overcast,Toyota,Camry,sedan,blue,36,103,214,"Toyota Camry in blue, sedan, side profile under soft overcast light",data/demo_catalog/images/car_001_2.png
car_001_3,car_001,3,rear_right,evening,Toyota,Camry,sedan,blue,36,103,214,rear-right angle near sunset of a blue sedan Toyota Camry,data/demo_catalog/images/car_001_3.png
car_002_1,car_002,1,front_left,daylight,Hyundai,Solaris,sedan,white,230,230,230,"white Hyundai Solaris sedan, front-left walkaround view in daylight",data/demo_catalog/images/car_002_1.png
car_002_2,car_002,2,side_profile,overcast,Hyundai,Solaris,sedan,white,230,230,230,"Hyundai Solaris in white, sedan, side profile under soft overcast light",data/demo_catalog/images/car_002_2.png
car_002_3,car_002,3,rear_right,evening,Hyundai,Solaris,sedan,white,230,230,230,rear-right angle near sunset of a white sedan Hyundai Solaris,data/demo_catalog/images/car_002_3.png
car_003_1,car_003,1,front_left,daylight,Kia,Sorento,suv,black,30,30,30,"black Kia Sorento suv, front-left walkaround view in daylight",data/demo_catalog/images/car_003_1.png
car_003_2,car_003,2,side_profile,overcast,Kia,Sorento,suv,black,30,30,30,"Kia Sorento in black, suv, side profile under soft overcast light",data/demo_catalog/images/car_003_2.png
car_003_3,car_003,3,rear_right,evening,Kia,Sorento,suv,black,30,30,30,rear-right angle near sunset of a black suv Kia Sorento,data/demo_catalog/images/car_003_3.png
car_004_1,car_004,1,front_left,daylight,BMW,X5,suv,graphite,85,87,92,"graphite BMW X5 suv, front-left walkaround view in daylight",data/demo_catalog/images/car_004_1.png
car_004_2,car_004,2,side_profile,overcast,BMW,X5,suv,graphite,85,87,92,"BMW X5 in graphite, suv, side profile under soft overcast light",data/demo_catalog/images/car_004_2.png
car_004_3,car_004,3,rear_right,evening,BMW,X5,suv,graphite,85,87,92,rear-right angle near sunset of a graphite suv BMW X5,data/demo_catalog/images/car_004_3.png
car_005_1,car_005,1,front_left,daylight,Skoda,Octavia,liftback,silver,180,184,190,"silver Skoda Octavia liftback, front-left walkaround view in daylight",data/demo_catalog/images/car_005_1.png
car_005_2,car_005,2,side_profile,overcast,Skoda,Octavia,liftback,silver,180,184,190,"Skoda Octavia in silver, liftback, side profile under soft overcast light",data/demo_catalog/images/car_005_2.png
car_005_3,car_005,3,rear_right,evening,Skoda,Octavia,liftback,silver,180,184,190,rear-right angle near sunset of a silver liftback Skoda Octavia,data/demo_catalog/images/car_005_3.png
car_006_1,car_006,1,front_left,daylight,Lada,Niva,suv,green,56,112,54,"green Lada Niva suv, front-left walkaround view in daylight",data/demo_catalog/images/car_006_1.png
car_006_2,car_006,2,side_profile,overcast,Lada,Niva,suv,green,56,112,54,"Lada Niva in green, suv, side profile under soft overcast light",data/demo_catalog/images/car_006_2.png
car_006_3,car_006,3,rear_right,evening,Lada,Niva,suv,green,56,112,54,rear-right angle near sunset of a green suv Lada Niva,data/demo_catalog/images/car_006_3.png
car_007_1,car_007,1,front_left,daylight,Ford,Focus,hatchback,red,187,43,43,"red Ford Focus hatchback, front-left walkaround view in daylight",data/demo_catalog/images/car_007_1.png
car_007_2,car_007,2,side_profile,overcast,Ford,Focus,hatchback,red,187,43,43,"Ford Focus in red, hatchback, side profile under soft overcast light",data/demo_catalog/images/car_007_2.png
car_007_3,car_007,3,rear_right,evening,Ford,Focus,hatchback,red,187,43,43,rear-right angle near sunset of a red hatchback Ford Focus,data/demo_catalog/images/car_007_3.png
